codfornec,nome,nomefantasia,bairro,cep,campolivre1,campolivre2,cgccpf,codcidade,codtipo,contacx,contato,ctctbred,endereco,estado,fax,fone,inscest,observacao,pessoa_fj,homepage,email,ativo,codcliente,celular,inscmunicipal,codmunicipio,tipofornece,comissao,complemento,numero,optantesimples,identificacao,caracteristica_tributaria,detalhe_regime,regimetributario
000001,AUTOPECAS E EQUIPADORA BEZERRA - JUAZEIRO,AUTOPECAS E EQUIPADORA BEZERRA,ALTO DO CRUZEIRO,48900410,,,14805204000104,02307,007,,JOSADARQUE,,SETE,BA,7436114969,7436116427,24253347,,J,www.autopecasbezerra.com.br,atendimento@autopecasbezerra.com.br,S,00000005,74988236427,1928001,,2,0,BEZERRA AUTO PC -,01A,,0,99,-1,-1
000002,BEZERRAS AUTOPECAS EIRELI ME - JUAZEIRO,BEZERRAS AUTOPECAS JUAZEIRO,ALTO DO CRUZEIRO,48905235,,,13561766000197,02042,007,,MURILLO BEZERRA,,SETE,BA,7436114969,7436116427,022295857,,J,www.autopecasbezerra.com.br,atendimento@autopecasbezerra.com.br,S,00000004,7488236427,,,1,0,"02 ANDAR, SALA 02",460,,0,99,99,99
000003,BEZERRA AUTOPECAS LTDA ME - SALGUEIRO,BEZERRA AUTOPECAS SALGUEIRO,JARDIM MARAVILHA,56306610,,,14248444000155,01600,007,,DANILLO BEZERRA,,SETE DE SETEMBRO,PE,,8738634290,045724679,,J,www.autopecasbezerra.com.br,atendimento@autopecasbezerra.com.br,S,00000003,74988115688,,,1,0,TERREO,229,,0,99,-1,-1
000004,AMERICA INTERNACIONAL PECAS AUTOMOTIVAS EIRELI,STOCK AIG,JAGUAR,05346000,,,05396602000123,03827,002,0207001,VISAC - VITOR SERVO,,JAGUARE,SP,,1130300660,148551346118,,J,http://www.stockaig.com.br/,vitorservo@hotmail.com,S,00003982,75981069219,,,7,0,GALPAO 1,818,,0,99,99,99
000005,VETOR INDUSTRIA E COMERCIO DE AUTOMOTIVOS EIRELI,VETOR - VTO EKCLASS TESLLA,BATEAS,88355202,,,81589327000142,04356,002,0207001,SERVO - FATIMA,,"RODOVIA IVO SILVEIRA, KM 5",SC,4732511684,7536230627,251903494,"ENDEREAO DO CNPJ: RODOVIA ANTONIO HEIL, 1001, KM1, SALA 111, LOTEAMENTO SAO PEDRO ITAIPAVA, ITAJAA-SC. 0800-724-5011
RENATA - 26/11/2019, NF 30/70 PARTE ESPECIAL ENVIO DE CHEQUE / FALAR COM TATIANE DA SERVO.",J,www.vetorauto.com.br,fatima@servo.com.br,S,00001958,7591117690,,,7,0,KM 1 SALA 111 LOT SAO PEDRO,6000,,0,99,99,99
000006,MOBENSANI INDUSTRIAL E AUTOMOTIVA LTDA,MOBENSANI,JARDIM NOSSA SENHORA APAR,07177150,,,61246245000198,03477,001,0207001,MARCOS - REPRES,,RUA DECIO DA SILVA,SP,7532212353,1137367800,336837297112,REPRESENTANTE MARQUINHOS - 75-3221-2353 / 75-9107-1567 - ALVES E TOMAZ REPRESENTAAAES!,J,www.mobensani.com.br,alvesethomaz@hotmail.dom,S,01012135,7591071567,,,7,0,BONSUCESSO,231,,0,99,99,99
000007,MONPAR IND E COM DE AUTO PECAS LTDA,MARFLEX,COLONIA (ZONA LESTE),08260155,,,68073600000113,03827,001,0207001,VISAC - TATIANE,,MONOS,SP,,7536230627,113654167116,0800-773-2005,J,www.marflex.ind.br,fatima@servo.com.br,S,01007837,,,,7,0,PARQUE DO CARMO,244,,0,99,99,99
000008,MR IND COM BENEF AUTOPECAS E ACESSORIOS LTDA,SPEED BRAKE,VILA CARMOSINA,08260155,,,02157787000125,03827,001,0207001,VISAC - FATIMA,,ESTRADA DOS MONOS,SP,,7535230627,114809119111,"0800-773-2005
RAFAEL 14/01/2020 
REPRESENTANTE: SERVO ASSESSORIA COMERCIAL 
Fone: (75) 3623-0627 - Wpp: (75) 99713-666
FRETE: FOB
IPI: 5%
PRAZO: 14 DIAS A VISTA 
100% COM NOTA
Skype - Tatiane Servo Representaes",J,www.speedbrake.com.br,fatima@servo.com.br,S,00004115,,,,7,0,BLOCO II,244 B2,,0,99,99,99
000009,AMP IND E COMERCIO DE PECAS AUTOMOTIVAS,URBA - BROSOL,AGUA BRANCA,05036001,,,07752881000146,03827,001,0207001,IMPACTO - OTON,,AVENIDA SANTA MARINA,SP,7133411586,7133419277,117194054110,"TELEFONE DA FABRICA: 11-4003-2158 / 3616-1422 - sac@urba-brosol.com.br
RAFAEL: 22/01/2020 
REPRESENTANTE PE: GARREP REPRESENTAES  EMAIL: garrep@garrep.com.br
TELEFONE: 81-3048-5480 
FRETE: CIF
TEM 5% DE IPI
NO TEM PARTE ESPECIAL 
VENDEDOR: GUSTAVO EMAIL: gustavo.brayner@garrep.com.br
CEL: 81-98633-6462 / 99509-9930",J,www.urba-brosol.com.br,servidorimpacto@gmail.com,S,,7188146207,,,6,0,BLOCO B,1317/1357,,0,99,99,99
000010,METALURGICA TUBA LTDA,TUBA - CABOS,CRUZ PRETA,06417000,,,60813177000139,03329,001,0207001,EMILSON/CLAUDIO,,ESTRADA DOS ROMEIROS,SP,1141611210,7532237155,206076108119,"Ecrl - Emilson ComArcio e RepresentaAAes Ltda - Rua Bahia, 84, Jardim AcAcia, Feira de Santana-BA
Telefone: 75) 3223-7155 / 3481-7108
Fax: (75) 3223-7155",J,www.tubacabos.com.br,emilson_reis@yahoo.com.br,S,01008722,7588364593,,,7,0,,2305,,0,99,99,99
